generacion,mejor_fitness,promedio_fitness,peor_fitness,mejor_lat,mejor_lon
44,0.8680664644517261,0.7670707398598453,0.0,-43.30507737558011,-65.03856715575861
45,0.8680664644517261,0.7819559968884174,0.0,-43.30507737558011,-65.03856715575861
46,0.8680664644517261,0.7521073892835678,0.0,-43.30507737558011,-65.03856715575861
47,0.8680664644517261,0.7543146551030511,0.0,-43.30507737558011,-65.03856715575861
48,0.8680664644517261,0.7415712425145823,0.0,-43.30507737558011,-65.03856715575861
49,0.8680664644517261,0.699025533410723,0.0,-43.30507737558011,-65.03856715575861
50,0.8680664644517261,0.7176037065027381,0.0,-43.30507737558011,-65.03856715575861
51,0.8680664644517261,0.7583865132086121,0.0,-43.30507737558011,-65.03856715575861
52,0.8680664644517261,0.740363666198492,0.0,-43.30507737558011,-65.03856715575861
53,0.8680664644517261,0.7275724090968478,0.0,-43.30507737558011,-65.03856715575861
54,0.8680664644517261,0.7191848350942742,0.0,-43.30507737558011,-65.03856715575861
55,0.8680664644517261,0.7414221346319846,0.0,-43.30507737558011,-65.03856715575861
56,0.868108585670389,0.7466206860460615,0.0,-43.30489305325805,-65.03856700761509
57,0.868108585670389,0.7447863430030759,0.0,-43.30489305325805,-65.03856700761509
58,0.868108585670389,0.7562766178101142,0.0,-43.30489305325805,-65.03856700761509
59,0.868108585670389,0.7573314950544743,0.0,-43.30489305325805,-65.03856700761509
60,0.868108585670389,0.7586652085112506,0.0,-43.30489305325805,-65.03856700761509
61,0.868108585670389,0.749553353430193,0.0,-43.30489305325805,-65.03856700761509
62,0.868108585670389,0.7561575700160208,0.0,-43.30489305325805,-65.03856700761509
63,0.868108585670389,0.7876331398843806,0.0,-43.30489305325805,-65.03856700761509
64,0.868108585670389,0.7931532149960383,0.0,-43.30489305325805,-65.03856700761509
65,0.868108585670389,0.7585005660634261,0.0,-43.30489305325805,-65.03856700761509
66,0.868108585670389,0.7422984205337039,0.0,-43.30489305325805,-65.03856700761509
67,0.868108585670389,0.7625889835249339,0.0,-43.30489305325805,-65.03856700761509
68,0.868108585670389,0.7830030441785607,0.0,-43.30489305325805,-65.03856700761509
69,0.868108585670389,0.7674867072864964,0.0,-43.30489305325805,-65.03856700761509
70,0.868108585670389,0.786979333246518,0.0,-43.30489305325805,-65.03856700761509
71,0.868108585670389,0.7717365516812413,0.0,-43.30489305325805,-65.03856700761509
72,0.868108585670389,0.7878784398196731,0.0,-43.30489305325805,-65.03856700761509
73,0.868108585670389,0.7603872689114833,0.0,-43.30489305325805,-65.03856700761509
74,0.868108585670389,0.749399975757847,0.0,-43.30489305325805,-65.03856700761509
75,0.868108585670389,0.7709841823850476,0.0,-43.30489305325805,-65.03856700761509
76,0.868108585670389,0.7578192693263456,0.0,-43.30489305325805,-65.03856700761509
77,0.868108585670389,0.744229358049549,0.0,-43.30489305325805,-65.03856700761509
78,0.868108585670389,0.6936519228775047,0.0,-43.30489305325805,-65.03856700761509
79,0.868108585670389,0.7571258062771179,0.0,-43.30489305325805,-65.03856700761509
80,0.868108585670389,0.7400467426391502,0.0,-43.30489305325805,-65.03856700761509
81,0.868108585670389,0.7632449899900732,0.0,-43.30489305325805,-65.03856700761509
82,0.868108585670389,0.7639329334955824,0.0,-43.30489305325805,-65.03856700761509
83,0.868108585670389,0.739822594787883,0.0,-43.30489305325805,-65.03856700761509
84,0.868108585670389,0.7788269066798883,0.0,-43.30489305325805,-65.03856700761509
85,0.868108585670389,0.7358741985725545,0.0,-43.30489305325805,-65.03856700761509
86,0.868108585670389,0.7772745783472921,0.0,-43.30489305325805,-65.03856700761509
87,0.868108585670389,0.7625187653160586,0.0,-43.30489305325805,-65.03856700761509
88,0.868108585670389,0.7597441621057519,0.0,-43.30489305325805,-65.03856700761509
89,0.868108585670389,0.7506545760434856,0.0,-43.30489305325805,-65.03856700761509
90,0.868108585670389,0.7415727344545505,0.0,-43.30489305325805,-65.03856700761509
91,0.868108585670389,0.7563098709857509,0.0,-43.30489305325805,-65.03856700761509
92,0.8681123894235663,0.7519294463782719,0.0,-43.304872311524086,-65.03856700761513
93,0.8681123894235663,0.7470505453741724,0.0,-43.304872311524086,-65.03856700761513
94,0.8681123894235663,0.769606774169938,0.0,-43.304872311524086,-65.03856700761513
95,0.8681123894235663,0.7400535658119942,0.0,-43.304872311524086,-65.03856700761513
96,0.8681123894235663,0.7372779083129214,0.0,-43.304872311524086,-65.03856700761513
97,0.8681123894235663,0.7616460471974387,0.0,-43.304872311524086,-65.03856700761513
98,0.8681123894235663,0.7214619091655551,0.0,-43.304872311524086,-65.03856700761513
99,0.8681123894235663,0.8017803770973687,0.5225879542680796,-43.304872311524086,-65.03856700761513
100,0.8681123894235663,0.7543572838241963,0.0,-43.304872311524086,-65.03856700761513
101,0.8681123894235675,0.7896720455759904,0.0,-43.30487231152408,-65.03856700761513
102,0.8681123894235675,0.7711819788952263,0.0,-43.30487231152408,-65.03856700761513
103,0.8681123894235675,0.7727547500639644,0.0,-43.30487231152408,-65.03856700761513
104,0.8681123894235675,0.7814090753489709,0.0,-43.30487231152408,-65.03856700761513
105,0.8681123894235675,0.8098444404082469,0.0,-43.30487231152408,-65.03856700761513
106,0.8681123894235675,0.7547473619420737,0.0,-43.30487231152408,-65.03856700761513
107,0.8681123894235675,0.7689232284723186,0.0,-43.30487231152408,-65.03856700761513
108,0.8681123894235675,0.7376457282209792,0.0,-43.30487231152408,-65.03856700761513
109,0.8681123894235675,0.7533267061328985,0.0,-43.30487231152408,-65.03856700761513
110,0.8681123894235675,0.7730707510448829,0.0,-43.30487231152408,-65.03856700761513
111,0.8681123894235675,0.7791398725022626,0.0,-43.30487231152408,-65.03856700761513
112,0.8681123894235675,0.796976315728332,0.0,-43.30487231152408,-65.03856700761513
113,0.8681123894235675,0.7328288270328787,0.0,-43.30487231152408,-65.03856700761513
114,0.8681123894235675,0.7295581753570715,0.0,-43.30487231152408,-65.03856700761513
115,0.8681123894235675,0.7305541178833208,0.0,-43.30487231152408,-65.03856700761513
